weight,diet
40,normal
50,normal
62,normal
86,normal
125,normal
163,normal
217,normal
240,normal
275,normal
307,normal
318,normal
331,normal
41,normal
55,normal
64,normal
77,normal
90,normal
95,normal
108,normal
111,normal
131,normal
148,normal
164,normal
167,normal
43,normal
52,normal
61,normal
73,normal
90,normal
103,normal
127,normal
135,normal
145,normal
163,normal
170,normal
175,normal
42,normal
52,normal
58,normal
74,normal
66,normal
68,normal
70,normal
71,normal
72,normal
72,normal
76,normal
74,normal
40,normal
49,normal
62,normal
78,normal
102,normal
124,normal
146,normal
164,normal
197,normal
231,normal
259,normal
265,normal
42,normal
48,normal
57,normal
74,normal
93,normal
114,normal
136,normal
147,normal
169,normal
205,normal
236,normal
251,normal
39,normal
46,normal
58,normal
73,normal
87,normal
100,normal
115,normal
123,normal
144,normal
163,normal
185,normal
192,normal
39,normal
46,normal
58,normal
73,normal
92,normal
114,normal
145,normal
156,normal
184,normal
207,normal
212,normal
233,normal
39,normal
48,normal
59,normal
74,normal
87,normal
106,normal
134,normal
150,normal
187,normal
230,normal
279,normal
309,normal
42,normal
48,normal
59,normal
72,normal
85,normal
98,normal
115,normal
122,normal
143,normal
151,normal
157,normal
150,normal
42,protein
51,protein
66,protein
85,protein
103,protein
124,protein
155,protein
153,protein
175,protein
184,protein
199,protein
204,protein
42,protein
49,protein
63,protein
84,protein
103,protein
126,protein
160,protein
174,protein
204,protein
234,protein
269,protein
281,protein
42,protein
55,protein
69,protein
96,protein
131,protein
157,protein
184,protein
188,protein
197,protein
198,protein
199,protein
200,protein
42,protein
51,protein
65,protein
86,protein
103,protein
118,protein
127,protein
138,protein
145,protein
146,protein
41,protein
50,protein
61,protein
78,protein
98,protein
117,protein
135,protein
141,protein
147,protein
174,protein
197,protein
196,protein
40,protein
52,protein
62,protein
82,protein
101,protein
120,protein
144,protein
156,protein
173,protein
210,protein
231,protein
238,protein
41,protein
53,protein
66,protein
79,protein
100,protein
123,protein
148,protein
157,protein
168,protein
185,protein
210,protein
205,protein
39,protein
50,protein
62,protein
80,protein
104,protein
125,protein
154,protein
170,protein
222,protein
261,protein
303,protein
322,protein
40,protein
53,protein
64,protein
85,protein
108,protein
128,protein
152,protein
166,protein
184,protein
203,protein
233,protein
237,protein
41,protein
54,protein
67,protein
84,protein
105,protein
122,protein
155,protein
175,protein
205,protein
234,protein
264,protein
264,protein
