BackpackWt,BodyWt,Percentage,Major,Year,BackProblems,Sex,UGorG,UnitsEnld
9,125,7.2,Bio,3,Yes,Female,U,13
8,195,4.1,Philosophy,5,No,Male,U,12
10,120,8.33,GRC,4,Yes,Female,U,14
6,155,3.87,CSC,6,No,Male,G,0
8,180,4.44,EE,2,No,Female,U,14
5,240,2.08,History,0,No,Male,G,0
8,170,4.71,CM,3,No,Male,U,15
4,185,2.16,ARCE,5,Yes,Female,U,18
5,130,3.85,Bio,4,No,Female,U,14
2,120,1.67,Bio,5,No,Female,U,8
8,135,5.93,Bus,3,No,Female,U,15
21,160,13.13,ME,5,No,Male,U,12
11,170,6.47,CPE,4,No,Male,U,16
11,170,6.47,CPE,4,Yes,Male,U,16
12,125,9.6,CS,3,Yes,Female,U,12
11,175,6.29,CPE,4,No,Male,U,16
13,145,8.97,Bio,4,Yes,Female,U,16
6,105,5.71,LS,3,No,Female,U,16
10,125,8,LS,3,Yes,Female,U,17
5,165,3.03,Bio,3,No,Male,U,14
20,170,11.76,CSC,2,No,Male,U,16
14,117,11.97,EE,2,Yes,Female,U,12
11,145,7.59,CE,5,No,Male,U,14
15,205,7.32,Bio,5,No,Female,U,12
10,270,3.7,AGB,3,No,Male,U,12
18,160,11.25,Mate,1,Yes,Male,U,13
8,150,5.33,AGB,4,No,Male,U,16
5,140,3.57,PoliSci,2,No,Female,U,16
25,190,13.16,AeroEng.,2,No,Male,U,14
6,165,3.64,Soc.Sci.,1,Yes,Female,U,15
10,145,6.9,GRC,1,Yes,Female,U,14
15,120,12.5,MLL,3,Yes,Female,U,16
9,135,6.67,LS,6,No,Female,G,14
7,145,4.83,CPE,6,No,Male,U,11
14,165,8.48,Math,5,Yes,Female,U,12
17,145,11.72,Psych,4,No,Female,U,13
14,140,10,ARCE,2,No,Female,U,15
11,160,6.88,EE,4,No,Male,U,15
4,155,2.58,IT,3,No,Male,U,16
8,143,5.59,Psy,2,No,Female,U,17
8,145,5.52,AGB,4,Yes,Female,U,16
13,135,9.63,SOCS,3,Yes,Female,U,16
10,130,7.69,Nut.,3,No,Female,U,16
15,165,9.09,Math,4,Yes,Female,U,12
10,140,7.14,LS,1,No,Female,U,14
5,115,4.35,Soc.Sci.,1,No,Female,U,13
6,128,4.69,Bus,1,No,Female,U,14
5,150,3.33,SPC,2,No,Female,U,14
13,220,5.91,CE,2,No,Male,U,13
10,150,6.67,CD,3,No,Female,U,16
19,170,11.18,ME,5,No,Male,U,12
8,155,5.16,Econ,2,No,Male,U,12
21,116,18.1,VocalMusic,4,No,Female,U,16
16,190,8.42,Bus,2,No,Male,U,14
13,145,8.97,Bio,4,No,Female,U,16
17,144,11.81,Bio,2,Yes,Female,U,13
10,130,7.69,Kine,2,No,Female,U,15
5,185,2.7,Psych,4,Yes,Male,U,15
9,140,6.43,Kine,3,No,Female,U,16
13,125,10.4,Math,2,No,Female,U,17
10,175,5.71,Act.,2,No,Male,U,19
10,150,6.67,Nutrition,4,No,Female,U,12
11,180,6.11,Kine,4,Yes,Male,U,18
8,140,5.71,PoliSci,3,Yes,Female,U,12
12,220,5.45,EE,1,No,Male,U,14
35,195,17.95,Aero,5,No,Male,U,12
12,127,9.45,Phys,5,Yes,Female,U,16
14,150,9.33,Kine,3,No,Female,U,16
2,125,1.6,IT,5,No,Male,U,15
5,125,4,ARCE,2,Yes,Female,U,16
6,180,3.33,ME,4,No,Male,U,15
20,180,11.11,CPE,1,Yes,Male,U,13
14,150,9.33,Aero,2,No,Male,U,14
14,125,11.2,Pols,2,No,Female,U,17
8,160,5,ME,2,No,Male,U,13
25,144,17.36,LS,3,No,Female,U,17
2,105,1.9,IE,6,No,Female,U,15
8,125,6.4,Pols,5,Yes,Female,U,16
15,130,11.54,Bus,3,Yes,Female,U,16
10,120,8.33,AGB,4,No,Female,U,16
25,175,14.29,CE,4,Yes,Female,U,15
24,145,16.55,Bus,3,Yes,Female,U,16
5,115,4.35,ME,3,Yes,Female,U,14
10,110,9.09,CE,2,No,Female,U,16
19,130,14.62,LS,5,Yes,Female,U,16
13,135,9.63,LS,4,No,Female,U,16
9,128,7.03,Aero,1,No,Female,U,16
14,135,10.37,ARCE,4,No,Male,U,13
20,170,11.76,Bus,3,Yes,Male,U,18
16,175,9.14,Bio,3,No,Male,U,12
18,150,12,IT,6,No,Male,U,17
18,160,11.25,MFGE,3,Yes,Male,U,13
11,168,6.55,Bus,3,Yes,Male,U,16
13,155,8.39,Psy,4,No,Male,U,14
15,210,7.14,Arch,3,No,Male,U,17
14,165,8.48,ME,3,No,Male,U,11
6,195,3.08,APIO,1,No,Male,U,16
11,130,8.46,Bus,1,No,Male,U,12
9,140,6.43,AERO,3,No,Male,U,12
15,170,8.82,History,5,No,Male,U,14
